,Count
,sum
Scientific Name,
Acanthochromis polyacanthus,1.0
Chrysiptera rex,7.0
Halichoeres marginatus,4.0
Halichoeres melanurus,1.0
Plectroglyphidodon dickii,29.0
Plectroglyphidodon lacrymatus,10.0
Pomacentrus adelus,19.0
Pomacentrus bankanensis,12.0
Pomacentrus coelestis,18.0
Pomacentrus moluccensis,5.0
Pomacentrus vaiuli,17.0
Stegastes fasciolatus,3.0
Stethojulis strigiventer,2.0
Thalassoma lunare,1.0
Zanclus cornutus,1.0
